movie_title,actor_name
tower heist,Matthew Broderick
the holiday,Kate Winslet
enemy of the state,Will Smith
it's complicated,Meryl Streep
ocean's thirteen,Al Pacino
open season,Jon Favreau
divergent,Kate Winslet
enemy at the gates,Bob Hoskins
the rundown,Dwayne Johnson
last action hero,F. Murray Abraham
memoirs of a geisha,Li Gong
the fast and the furious: tokyo drift,Amber Stevens West
arthur christmas,Jim Broadbent
meet joe black,Anthony Hopkins
collateral damage,Raymond Cruz
all that jazz,Roy Scheider
mirror mirror,Julia Roberts
scott pilgrim vs. the world,Anna Kendrick
the core,Glenn Morshower
nutty professor ii: the klumps,Larry Miller
scooby-doo,Sarah Michelle Gellar
click,Adam Sandler
cats & dogs: the revenge of kitty galore,Jack McBrayer
jumper,Kristen Stewart
hellboy ii: the golden army,Seth MacFarlane
zodiac,Robert Downey Jr.
the 6th day,Robert Duvall
bruce almighty,Morgan Freeman
the expendables,Jason Statham
mission: impossible,Tom Cruise
the hunger games,Jennifer Lawrence
the hangover part ii,Bradley Cooper
batman returns,Michael Gough
over the hedge,Bruce Willis
lilo & stitch,Tia Carrere
charlotte's web,Steve Buscemi
deep impact,Morgan Freeman
red 2,Bruce Willis
the longest yard,Adam Sandler
alvin and the chipmunks: chipwrecked,Amy Poehler
grown ups 2,Steve Buscemi
get smart,Bill Murray
something's gotta give,Keanu Reeves
shutter island,Leonardo DiCaprio
four christmases,Jon Favreau
robots,Jim Broadbent
face/off,Nicolas Cage
bedtime stories,Adam Sandler
road to perdition,Tom Hanks
just go with it,Adam Sandler
daredevilÂ            ,Elden Henson
con air,Steve Buscemi
eagle eye,Rosario Dawson
cold mountain,Philip Seymour Hoffman
the book of eli,Denzel Washington
flubber,Robin Williams
the haunting,Liam Neeson
space jam,Bill Murray
the pink panther,Roger Rees
conspiracy theory,Julia Roberts
fury,Brad Pitt
six days seven nights,Harrison Ford
yogi bear,Justin Timberlake
spirit: stallion of the cimarron,Matt Damon
zookeeper,Rosario Dawson
lost in space,Gary Oldman
the manchurian candidate,Denzel Washington
dÃ©jÃ  vu,Vanessa Redgrave
hotel transylvania 2,Steve Buscemi
bewitchedÂ            ,Elizabeth Montgomery
fantasia 2000,Quincy Jones
the time machine,Mark Addy
mighty joe young,Charlize Theron
swordfish,Hugh Jackman
the legend of zorro,Michael Emerson
what dreams may come,Robin Williams
little nicky,Adam Sandler
the brothers grimm,Matt Damon
mars attacks!,Natalie Portman
evolution,Nissim Renard
the edge,Anthony Hopkins
surrogates,Bruce Willis
thirteen days,Bruce Greenwood
daylight,Sylvester Stallone
walking with dinosaurs 3d,Charlie Rowe
battlefield earth,Richard Tyson
looney tunes: back in action,Brendan Fraser
nine,Fergie
timeline,Paul Walker
the postman,Olivia Williams
babe: pig in the city,Adam Goldberg
the last witch hunter,Vin Diesel
red planet,Bob Neill
arthur and the invisibles,Mia Farrow
oceans,Pedro ArmendÃ¡riz Jr.
a sound of thunder,David Oyelowo
pompeii,Sasha Roiz
top cat begins,Sariann Monaco
a beautiful mind,Adam Goldberg
the lion king,Matthew Broderick
journey 2: the mysterious island,Josh Hutcherson
cloudy with a chance of meatballs 2,Will Forte
red dragon,Philip Seymour Hoffman
hidalgo,J.K. Simmons
jack and jill,Al Pacino
2 fast 2 furious,Paul Walker
the little prince,Jeff Bridges
the invasion,Roger Rees
the adventures of rocky & bullwinkle,Robert De Niro
the secret life of pets,Steve Coogan
the league of extraordinary gentlemen,Jason Flemyng
despicable me 2,Steve Carell
independence day,Will Smith
the lost world: jurassic park,Ariana Richards
madagascar,Jada Pinkett Smith
children of men,Charlie Hunnam
x-men,Hugh Jackman
wanted,Angelina Jolie Pitt
the rock,Nicolas Cage
ice age: the meltdown,Denis Leary
50 first dates,Adam Sandler
hairspray,Jerry Stiller
exorcist: the beginning,James D'Arcy
inspector gadget,Matthew Broderick
now you see me,Morgan Freeman
grown ups,Steve Buscemi
the terminal,Tom Hanks
constantineÂ            ,Harold Perrineau
hotel for dogs,Don Cheadle
vertical limit,Nicholas Lea
charlie wilson's war,Philip Seymour Hoffman
shark tale,Robert De Niro
dreamgirls,Loretta Devine
lifeÂ            ,Adam Arkin
be cool,Dwayne Johnson
munich,Ayelet Zurer
tears of the sun,Bruce Willis
killers,Tom Selleck
the man from u.n.c.l.e.,Henry Cavill
spanglish,Adam Sandler
monster house,Steve Buscemi
bandits,Bruce Willis
first knight,Julia Ormond
anna and the king,Bai Ling
immortals,Henry Cavill
hostage,Jimmy Bennett
titan a.e.,Matt Damon
hollywood homicide,Harrison Ford
soldier,Connie Nielsen
carriers,Christopher Meloni
monkeybone,Brendan Fraser
flight of the phoenix,Dennis Quaid
unbreakable,Robin Wright
minions,Steve Carell
sucker punch,Jon Hamm
snake eyes,Nicolas Cage
sphere,Peter Coyote
the angry birds movie,Peter Dinklage
fool's gold,Matthew McConaughey
funny people,Adam Sandler
the kingdom,Jennifer Garner
talladega nights: the ballad of ricky bobby,Will Ferrell
dr. dolittle 2,Raven-SymonÃ©
braveheart,Mhairi Calvey
jarhead,Jake Gyllenhaal
the simpsons movie,Albert Brooks
the majestic,Martin Landau
driven,Sylvester Stallone
two brothers,David Gant
the village,Bryce Dallas Howard
doctor dolittle,Oliver Platt
signs,Rory Culkin
shrek 2,Rupert Everett
cars,John Ratzenberger
runaway bride,Julia Roberts
xxx,Vin Diesel
the spongebob movie: sponge out of water,Tim Conway
ransom,Lili Taylor
inglourious basterds,Michael Fassbender
hook,Robin Williams
hercules,Dwayne Johnson
die hard 2,Bruce Willis
s.w.a.t.,Jeremy Renner
sleepy hollowÂ            ,Nicole Beharie
vanilla sky,Tom Cruise
lady in the water,Bryce Dallas Howard
avp: alien vs. predator,Sanaa Lathan
alvin and the chipmunks: the squeakquel,Amy Poehler
we were soldiers,Jon Hamm
olympus has fallen,Gerard Butler
star trek: insurrection,LeVar Burton
battle los angeles,Noel Fisher
big fish,Steve Buscemi
wolf,David Hyde Pierce
war horse,Jeremy Irvine
the monuments men,Bill Murray
the abyss,Michael Biehn
wall street: money never sleeps,Frank Langella
dracula untold,Dominic Cooper
the siege,Denzel Washington
stardust,Henry Cavill
seven years in tibet,Brad Pitt
the dilemma,Channing Tatum
bad company,Anthony Hopkins
doom,Dwayne Johnson
i spy,Gary Cole
underworld: awakening,Theo James
rock of ages,James Martin Kelly
hart's war,Bruce Willis
killer elite,Jason Statham
rollerball,LL Cool J
ballistic: ecks vs. sever,Talisa Soto
hard rain,Morgan Freeman
osmosis jones,Ron Howard
legends of oz: dorothy's return,Lea Michele
blackhat,Chris Hemsworth
sky captain and the world of tomorrow,Angelina Jolie Pitt
basic instinct 2,Charlotte Rampling
escape plan,Sylvester Stallone
the legend of hercules,Roxanne McKee
the sum of all fears,Morgan Freeman
the twilight saga: eclipse,Robert Pattinson
the score,Robert De Niro
despicable me,Steve Carell
money train,Vincent Pastore
ted 2,Liam Neeson
agora,Max Minghella
mystery men,Janeane Garofalo
hall pass,Jenna Fischer
the insider,Al Pacino
the finest hours,Michael Raymond-James
body of lies,Leonardo DiCaprio
dinner for schmucks,Steve Carell
abraham lincoln: vampire hunter,Rufus Sewell
entrapment,Will Patton
last man standingÂ            ,Hector Elizondo
the x files,Martin Landau
the last legion,Colin Firth
saving private ryan,Tom Hanks
need for speed,Rami Malek
what women want,Judy Greer
ice age,Goran Visnjic
dreamcatcher,Morgan Freeman
lincoln,Joseph Gordon-Levitt
the matrix,Keanu Reeves
apollo 13,Tom Hanks
total recall,Ronny Cox
the santa clause 2,Judge Reinhold
les misÃ©rables,Hugh Jackman
you've got mail,Tom Hanks
step brothers,Will Ferrell
the mask of zorro,Anthony Hopkins
due date,Robert Downey Jr.
space cowboys,Clint Eastwood
cliffhanger,Sylvester Stallone
broken arrow,Delroy Lindo
the kid,Bruce Willis
world trade center,Nicolas Cage
mona lisa smile,Julia Roberts
the dictator,Sayed Badreya
eyes wide shut,Tom Cruise
annie,QuvenzhanÃ© Wallis
focus,Will Smith
this means war,Tom Hardy
blade: trinity,Ryan Reynolds
red dawn,Lea Thompson
primary colors,Maura Tierney
resident evil: retribution,Milla Jovovich
death race,Jason Statham
the long kiss goodnight,Melina Kanakaredes
proof of life,Pamela Reed
zathura: a space adventure,Kristen Stewart
fight club,Brad Pitt
we are marshall,Matthew McConaughey
the missingÂ            ,Jason Flemyng
hudson hawk,Bruce Willis
lucky numbers,Michael Rapaport
"i, frankenstein",Caitlin Stasey
oliver twist,Ian McNeice
elektra,Jennifer Garner
sin city: a dame to kill for,Joseph Gordon-Levitt
random hearts,Harrison Ford
everest,Michael Kelly
perfume: the story of a murderer,Michael Smiley
austin powers in goldmember,Verne Troyer
astro boy,Nicolas Cage
jurassic park,Wayne Knight
wyatt earp,Dennis Quaid
clear and present danger,Harrison Ford
dragon blade,Si Won Choi
littleman,Chazz Palminteri
u-571,Matthew McConaughey
the american president,Shawna Waldron
the love guru,Justin Timberlake
3000 miles to graceland,Jon Lovitz
the hateful eight,Craig Stark
blades of glory,Will Ferrell
hop,Gary Cole
300,Gerard Butler
meet the fockers,Robert De Niro
marley & me,Eric Dane
the green mile,Tom Hanks
wild hogs,Jill Hennessy
chicken little,Catherine O'Hara
gone girl,Patrick Fugit
the bourne identity,Matt Damon
goldeneye,Izabella Scorupco
the general's daughter,Daniel von Bargen
the truman show,Natascha McElhone
the prince of egypt,Martin Short
daddy day care,Anjelica Huston
2 guns,Denzel Washington
cats & dogs,Carol Ann Susi
the italian job,Jason Statham
two weeks notice,Dorian Missick
antz,Sylvester Stallone
couples retreat,Jon Favreau
days of thunder,Tom Cruise
cheaper by the dozen 2,Taylor Lautner
the scorch trials,Ki Hong Lee
eat pray love,James Franco
the family man,Nicolas Cage
red,Bruce Willis
any given sunday,Al Pacino
the horse whisperer,Scarlett Johansson
collateral,Tom Cruise
the scorpion king,Dwayne Johnson
ladder 49,Billy Burke
deep blue sea,LL Cool J
this is it,Misha Gabriel Hamilton
contagion,Matt Damon
kangaroo jack,Estella Warren
coraline,Jennifer Saunders
the happening,Zooey Deschanel
man on fire,Denzel Washington
the shaggy dog,Robert Downey Jr.
starsky & hutch,Snoop Dogg
jingle all the way,Jim Belushi
hellboy,James Babson
a civil action,Robert Duvall
paranorman,Anna Kendrick
the jackal,J.K. Simmons
paycheck,Ivana Milicevic
up close & personal,Joe Mantegna
the tale of despereaux,Emma Watson
rules of engagementÂ            ,Bianca Kajlich
the tuxedo,Romany Malco
under siege 2: dark territory,Peter Greene
jack ryan: shadow recruit,Colm Feore
joy,Jennifer Lawrence
london has fallen,Gerard Butler
alien: resurrection,Gary Dourdan
shooter,Tate Donovan
the boxtrolls,Isaac Hempstead Wright
practical magic,Goran Visnjic
the lego movie,Morgan Freeman
miss congeniality 2: armed and fabulous,Eileen Brennan
reign of fire,Christian Bale
gangster squad,Ryan Gosling
year one,Olivia Wilde
invictus,Matt Damon
state of play,Robin Wright
duplicity,Julia Roberts
my favorite martian,Steven Anthony Lawrence
the sentinel,Blair Brown
planet 51,Dwayne Johnson
star trek: nemesis,Tom Hardy
intolerable cruelty,Cedric the Entertainer
trouble with the curve,Clint Eastwood
edge of darkness,Bojana Novakovic
the relic,John Kapelos
analyze that,Robert De Niro
righteous kill,Robert De Niro
the soloist,Robert Downey Jr.
the legend of bagger vance,Matt Damon
almost famous,Philip Seymour Hoffman
garfield 2,Bill Murray
xxx: state of the union,Sunny Mabrey
priest,Josh Wingate
sinbad: legend of the seven seas,Brad Pitt
event horizon,Sean Pertwee
the avengers,Chris Hemsworth
dragonfly,Joe Morton
the black dahlia,Scarlett Johansson
flyboys,James Franco
the last castle,Clifton Collins Jr.
supernova,Robert Forster
winter's tale,Matt Bomer
the mortal instruments: city of bones,Aidan Turner
meet dave,Marc Blucas
dark water,Dougray Scott
edtv,Matthew McConaughey
inkheart,Brendan Fraser
the spirit,Scarlett Johansson
mortdecai,Johnny Depp
in the name of the king: a dungeon siege tale,Jason Statham
beyond borders,Angelina Jolie Pitt
xi you ji zhi: sun wukong san da baigu jing,Li Gong
the great raid,James Franco
deadpool,Ryan Reynolds
holy man,Kelly Preston
american sniper,Bradley Cooper
"sabrina, the teenage witchÂ            ",Nate Richert
just like heaven,Jon Heder
the flintstones in viva rock vegas,Taylor Negron
rambo iii,Sylvester Stallone
leatherheads,Robert Baker
the ridiculous 6,Taylor Lautner
did you hear about the morgans?,Michael Kelly
the internship,Josh Gad
resident evil: afterlife,Milla Jovovich
red tails,David Oyelowo
sex and the cityÂ            ,Chris Noth
the devil's advocate,Keanu Reeves
that's my boy,Adam Sandler
dragonheart,Dennis Quaid
after the sunset,Salma Hayek
ghost rider: spirit of vengeance,Nicolas Cage
captain corelli's mandolin,Christian Bale
anger managementÂ            ,Barry Corbin
the pacifier,Vin Diesel
walking tall,Dwayne Johnson
forrest gump,Tom Hanks
alvin and the chipmunks,Jesse McCartney
meet the parents,Robert De Niro
pocahontas,Christian Bale
superman,Marlon Brando
the nutty professor,Jada Pinkett Smith
hitch,Will Smith
george of the jungle,Brendan Fraser
american wedding,Alyson Hannigan
captain phillips,Tom Hanks
date night,Mila Kunis
casper,Eric Idle
the equalizer,Denzel Washington
maid in manhattan,Bob Hoskins
crimson tide,Denzel Washington
the pursuit of happyness,Will Smith
flightplan,Erika Christensen
disclosure,Demi Moore
city of angels,Nicolas Cage
kill bill: vol. 1,David Carradine
bowfinger,Robert Downey Jr.
stargate sg-1Â            ,Christopher Judge
kill bill: vol. 2,Vivica A. Fox
tango & cash,Sylvester Stallone
death becomes her,Bruce Willis
shanghai noon,Xander Berkeley
executive decision,Oliver Platt
mr. popper's penguins,Madeline Carroll
the forbidden kingdom,Jet Li
free birds,Amy Poehler
alien 3,Charles S. Dutton
evita,Andrea Corr
ronin,Robert De Niro
the ghost and the darkness,Tom Wilkinson
paddington,Julie Walters
the hunted,Connie Nielsen
instinct,Anthony Hopkins
stuck on you,Matt Damon
semi-pro,Will Ferrell
the pirates! band of misfits,Salma Hayek
changeling,Angelina Jolie Pitt
chain reaction,Keanu Reeves
the fan,Robert De Niro
the phantom of the opera,Gerard Butler
elizabeth: the golden age,Eddie Redmayne
Ã¦on flux,Charlize Theron
gods and generals,Billy Campbell
turbulence,Hector Elizondo
imagine that,Stephen Root
muppets most wanted,Ty Burrell
thunderbirds,Sophia Myles
burlesque,Eric Dane
a very long engagement,Denis Lavant
eye see you,Sylvester Stallone
blade ii,Norman Reedus
seven pounds,Will Smith
bullet to the head,Sylvester Stallone
the godfather: part iii,Al Pacino
elizabethtown,Orlando Bloom
"you, me and dupree",Todd Stashwick
superman ii,Margot Kidder
gigli,Todd Giebenhain
all the king's men,Kate Winslet
shaft,Christian Bale
anastasia,Kirsten Dunst
moulin rouge!,Jim Broadbent
domestic disturbance,Steve Buscemi
black mass,Johnny Depp
flags of our fathers,Paul Walker
law abiding citizen,Gerard Butler
grindhouse,Quentin Tarantino
beloved,Oprah Winfrey
lucky you,Robert Downey Jr.
catch me if you can,Leonardo DiCaprio
zero dark thirty,Jennifer Ehle
the break-up,Jon Favreau
mamma mia!,Colin Firth
valentine's day,Bradley Cooper
the dukes of hazzard,Alice Greczyn
the thin red line,Nick Stahl
the change-up,Ryan Reynolds
man on the moon,Matt Price
casino,Robert De Niro
from paris with love,Kasia Smutniak
bulletproof monk,Jaime King
"me, myself & irene",Robert Forster
barnyard,Rob Paulsen
deck the halls,Matthew Broderick
the twilight saga: new moon,Robert Pattinson
shrek,Kathleen Freeman
the adjustment bureau,Matt Damon
