,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
21,Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,Drama History Thriller,munich,Ayelet Zurer Moritz Bleibtreu Mathieu Amalric Steven Spielberg Drama History Thriller
22,Andy Tennant,Bai Ling,Geoffrey Palmer,Randall Duk Kim,Drama History Romance,anna and the king,Bai Ling Geoffrey Palmer Randall Duk Kim Andy Tennant Drama History Romance
23,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,Biography Drama History War,braveheart,Mhairi Calvey Patrick McGoohan James Robinson Mel Gibson Biography Drama History War
24,Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,Action Drama History War,we were soldiers,Jon Hamm Marc Blucas Chris Klein Randall Wallace Action Drama History War
25,Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,Adventure Biography Drama History War,seven years in tibet,Brad Pitt Mako Victor Wong Jean-Jacques Annaud Adventure Biography Drama History War
26,Alejandro AmenÃÂ¡bar,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance,agora,Max Minghella Ashraf Barhom Rupert Evans Alejandro AmenÃÂ¡bar Adventure Drama History Romance
27,Craig Gillespie,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Action Drama History Thriller,the finest hours,Michael Raymond-James Abraham Benrubi Graham McTavish Craig Gillespie Action Drama History Thriller
28,Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Biography Drama History War,lincoln,Joseph Gordon-Levitt Hal Holbrook Bruce McGill Steven Spielberg Biography Drama History War
29,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,Adventure Drama History,apollo 13,Tom Hanks Miko Hughes Kathleen Quinlan Ron Howard Adventure Drama History
30,Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller,world trade center,Nicolas Cage Jay Hernandez Armando Riesco Oliver Stone Drama History Thriller
31,Baltasar KormÃÂ¡kur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller,everest,Michael Kelly Martin Henderson Tom Goodman-Hill Baltasar KormÃÂ¡kur Adventure Biography Drama History Sport Thriller
32,Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History,dragon blade,Si Won Choi Peng Lin Sung-jun Yoo Daniel Lee Action Adventure Drama History
33,Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport,invictus,Matt Damon Morgan Freeman Leleti Khumalo Clint Eastwood Biography Drama History Sport
34,Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War,flyboys,James Franco Tyler Labine Philip Winchester Tony Bill Action Adventure Drama History Romance War
35,Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Action Biography Drama History Thriller War,american sniper,Bradley Cooper Leonard Roberts Keir O'Donnell Clint Eastwood Action Biography Drama History Thriller War
36,Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War,red tails,David Oyelowo Nate Parker Tristan Mack Wilds Anthony Hemingway Action Adventure Drama History War
37,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance,pocahontas,Christian Bale Frank Welker Irene Bedard Mike Gabriel Adventure Animation Drama Family History Musical Romance
38,Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography Drama History Musical,evita,Andrea Corr Jimmy Nail Peter Polycarpou Alan Parker Biography Drama History Musical
39,Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi MollÃÂ ,Biography Drama History War,elizabeth: the golden age,Eddie Redmayne Abbie Cornish Jordi MollÃÂ  Shekhar Kapur Biography Drama History War
40,Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,Drama History War,gods and generals,Billy Campbell Bruce Boxleitner John Castle Ron Maxwell Drama History War
41,Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,Drama History War,flags of our fathers,Paul Walker Chris Bauer Tom McCarthy Clint Eastwood Drama History War
42,Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,Drama History Horror,beloved,Oprah Winfrey Kimberly Elise Hill Harper Jonathan Demme Drama History Horror
43,Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,Drama History Thriller,zero dark thirty,Jennifer Ehle Harold Perrineau Parker Sawyers Kathryn Bigelow Drama History Thriller
44,Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,Action Biography Drama History War,free state of jones,Matthew McConaughey Donald Watkins Jessica Collins Gary Ross Action Biography Drama History War
45,Luc Besson,Paul Brooke,David Bailie,Rab Affleck,Adventure Biography Drama History War,the messenger: the story of joan of arc,Paul Brooke David Bailie Rab Affleck Luc Besson Adventure Biography Drama History War
46,Terence Young,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Drama History War,inchon,Laurence Olivier Ben Gazzara Jacqueline Bisset Terence Young Drama History War
47,Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,Biography Drama History,nixon,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography Drama History
48,Ben Affleck,Clea DuVall,Scoot McNairy,Tate Donovan,Biography Drama History Thriller,argo,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography Drama History Thriller
49,Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,Biography Drama History Romance,cleopatra,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography Drama History Romance
50,Oliver Stone,Sally Kirkland,Jay O. Sanders,Cheryl Penland,Drama History Thriller,jfk,Sally Kirkland Jay O. Sanders Cheryl Penland Oliver Stone Drama History Thriller
51,Steven Spielberg,Tom Hanks,Mark Rylance,Amy Ryan,Drama History Thriller,bridge of spies,Tom Hanks Mark Rylance Amy Ryan Steven Spielberg Drama History Thriller
52,Steven Spielberg,Anthony Hopkins,Morgan Freeman,Matthew McConaughey,Drama History,amistad,Anthony Hopkins Morgan Freeman Matthew McConaughey Steven Spielberg Drama History
53,Justin Chadwick,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch,Biography Drama History Romance,the other boleyn girl,Natalie Portman Scarlett Johansson Benedict Cumberbatch Justin Chadwick Biography Drama History Romance
54,Sofia Coppola,Kirsten Dunst,Shirley Henderson,Rip Torn,Biography Drama History Romance,marie antoinette,Kirsten Dunst Shirley Henderson Rip Torn Sofia Coppola Biography Drama History Romance
55,Peter Ho-Sun Chan,Jet Li,Takeshi Kaneshiro,Andy Lau,Action Drama History Romance War,the warlords,Jet Li Takeshi Kaneshiro Andy Lau Peter Ho-Sun Chan Action Drama History Romance War
56,Sergey Bodrov,Jay Hernandez,Kuno Becker,Jason Scott Lee,Drama History War,nomad: the warrior,Jay Hernandez Kuno Becker Jason Scott Lee Sergey Bodrov Drama History War
57,John Woo,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao,Action Adventure Drama History War,red cliff,Takeshi Kaneshiro Tony Chiu Wai Leung Wei Zhao John Woo Action Adventure Drama History War
58,David Leland,Hayden Christensen,Ryan Cartwright,David Walliams,Adventure Comedy History Romance,virgin territory,Hayden Christensen Ryan Cartwright David Walliams David Leland Adventure Comedy History Romance
59,Rob Reiner,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,Drama History,ghosts of mississippi,Alexa PenaVega Virginia Madsen Craig T. Nelson Rob Reiner Drama History
60,Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,Action Biography Drama History,ip man 3,Mike Tyson Lynn Hung Kwok-Kwan Chan Wilson Yip Action Biography Drama History
61,Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh,Biography Drama Family History Sport,secretariat,Scott Glenn Kevin Connolly Dylan Walsh Randall Wallace Biography Drama Family History Sport
62,John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak,Biography Comedy Drama History Music,saving mr. banks,Tom Hanks Ruth Wilson B.J. Novak John Lee Hancock Biography Comedy Drama History Music
63,Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.,Biography Drama History Romance,malcolm x,Denzel Washington Delroy Lindo Al Freeman Jr. Spike Lee Biography Drama History Romance
64,Jean-Marc VallÃÂ©e,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,Biography Drama History Romance,the young victoria,Michiel Huisman Jim Broadbent Thomas Kretschmann Jean-Marc VallÃÂ©e Biography Drama History Romance
65,Moustapha Akkad,Oliver Reed,Rod Steiger,John Gielgud,Biography Drama History War,lion of the desert,Oliver Reed Rod Steiger John Gielgud Moustapha Akkad Biography Drama History War
66,Justin Chadwick,Terry Pheto,Fana Mokoena,Tony Kgoroge,Biography Drama History,mandela: long walk to freedom,Terry Pheto Fana Mokoena Tony Kgoroge Justin Chadwick Biography Drama History
67,Warren Beatty,Paul Sorvino,Warren Beatty,M. Emmet Walsh,Biography Drama History Romance,reds,Paul Sorvino Warren Beatty M. Emmet Walsh Warren Beatty Biography Drama History Romance
68,Terrence Malick,Christian Bale,Michael Greyeyes,Wes Studi,Biography Drama History Romance,the new world,Christian Bale Michael Greyeyes Wes Studi Terrence Malick Biography Drama History Romance
69,Andrew Dominik,Brad Pitt,Jeremy Renner,Sam Shepard,Biography Crime Drama History Western,the assassination of jesse james by the coward robert ford,Brad Pitt Jeremy Renner Sam Shepard Andrew Dominik Biography Crime Drama History Western
70,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,Action Adventure Drama History War,1911,Bingbing Li Joan Chen Jaycee Chan Li Zhang Action Adventure Drama History War
71,Bille August,Terry Pheto,Patrick Lyster,Tyrone Keogh,Biography Drama History,the color of freedom,Terry Pheto Patrick Lyster Tyrone Keogh Bille August Biography Drama History
72,FrÃÂ©dÃÂ©ric Auburtin,Fisher Stevens,Thomas Kretschmann,Jemima West,Drama History Sport,united passions,Fisher Stevens Thomas Kretschmann Jemima West FrÃÂ©dÃÂ©ric Auburtin Drama History Sport
73,Richard Attenborough,Denzel Washington,Kevin McNally,Penelope Wilton,Biography Drama History,cry freedom,Denzel Washington Kevin McNally Penelope Wilton Richard Attenborough Biography Drama History
74,F. Gary Gray,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,Biography Crime Drama History Music,straight outta compton,Aldis Hodge Neil Brown Jr. R. Marcos Taylor F. Gary Gray Biography Crime Drama History Music
75,Adam McKay,Ryan Gosling,Christian Bale,Charlie Talbert,Biography Comedy Drama History,the big short,Ryan Gosling Christian Bale Charlie Talbert Adam McKay Biography Comedy Drama History
76,Gavin O'Connor,Eddie Cahill,Noah Emmerich,Kenneth Mitchell,Biography Drama History Sport,miracle,Eddie Cahill Noah Emmerich Kenneth Mitchell Gavin O'Connor Biography Drama History Sport
77,Martin Scorsese,Tenzin Thuthob Tsarong,Tulku Jamyang Kunga Tenzin,Tencho Gyalpo,Biography Drama History War,kundun,Tenzin Thuthob Tsarong Tulku Jamyang Kunga Tenzin Tencho Gyalpo Martin Scorsese Biography Drama History War
78,AgustÃÂ­n DÃÂ­az Yanes,Viggo Mortensen,Elena Anaya,Eduardo Noriega,Adventure Drama History Romance Thriller War,captain alatriste: the spanish musketeer,Viggo Mortensen Elena Anaya Eduardo Noriega AgustÃÂ­n DÃÂ­az Yanes Adventure Drama History Romance Thriller War
79,David Lean,Richard Wilson,Judy Davis,Art Malik,Adventure Drama History,a passage to india,Richard Wilson Judy Davis Art Malik David Lean Adventure Drama History
80,Philip Kaufman,Dennis Quaid,Scott Glenn,Sam Shepard,Adventure Drama History,the right stuff,Dennis Quaid Scott Glenn Sam Shepard Philip Kaufman Adventure Drama History
81,Roland Emmerich,Vanessa Redgrave,Joely Richardson,Rafe Spall,Drama History Thriller,anonymous,Vanessa Redgrave Joely Richardson Rafe Spall Roland Emmerich Drama History Thriller
82,Saul Dibb,Dominic Cooper,Hayley Atwell,Charlotte Rampling,Biography Drama History Romance,the duchess,Dominic Cooper Hayley Atwell Charlotte Rampling Saul Dibb Biography Drama History Romance
83,Richard Linklater,Matthew McConaughey,Lew Temple,Dwight Yoakam,Action Crime Drama History Western,the newton boys,Matthew McConaughey Lew Temple Dwight Yoakam Richard Linklater Action Crime Drama History Western
84,Richard Attenborough,Ryan O'Neal,Dirk Bogarde,Wolfgang Preiss,Drama History War,a bridge too far,Ryan O'Neal Dirk Bogarde Wolfgang Preiss Richard Attenborough Drama History War
85,Oliver Stone,Toby Jones,Scott Glenn,Bruce McGill,Biography Drama History,w.,Toby Jones Scott Glenn Bruce McGill Oliver Stone Biography Drama History
86,Steven Spielberg,Liam Neeson,Embeth Davidtz,Caroline Goodall,Biography Drama History,schindler's list,Liam Neeson Embeth Davidtz Caroline Goodall Steven Spielberg Biography Drama History
87,George P. Cosmatos,Michael Biehn,Dana Delany,Powers Boothe,Action Biography Drama History Romance Western,tombstone,Michael Biehn Dana Delany Powers Boothe George P. Cosmatos Action Biography Drama History Romance Western
88,Bernardo Bertolucci,Cary-Hiroyuki Tagawa,Joan Chen,Victor Wong,Biography Drama History,the last emperor,Cary-Hiroyuki Tagawa Joan Chen Victor Wong Bernardo Bertolucci Biography Drama History
89,Shekhar Kapur,Fanny Ardant,John Gielgud,Eric Cantona,Biography Drama History,elizabeth,Fanny Ardant John Gielgud Eric Cantona Shekhar Kapur Biography Drama History
90,Richard Fleischer,Joseph Cotten,Richard Anderson,James Whitmore,Action Drama History War,tora! tora! tora!,Joseph Cotten Richard Anderson James Whitmore Richard Fleischer Action Drama History War
91,Bill Paxton,Stephen Dillane,Matthew Knight,Amanda Tilson,Drama History Sport,the greatest game ever played,Stephen Dillane Matthew Knight Amanda Tilson Bill Paxton Drama History Sport
92,Brian Helgeland,Tom Hardy,Paul Anderson,Tara Fitzgerald,Biography Crime Drama History Thriller,legend,Tom Hardy Paul Anderson Tara Fitzgerald Brian Helgeland Biography Crime Drama History Thriller
93,Robert Redford,Robin Wright,Tom Wilkinson,Stephen Root,Crime Drama History,the conspirator,Robin Wright Tom Wilkinson Stephen Root Robert Redford Crime Drama History
94,Patricia Riggen,Marco TreviÃÂ±o,James Brolin,Jacob Vargas,Biography Drama History,the 33,Marco TreviÃÂ±o James Brolin Jacob Vargas Patricia Riggen Biography Drama History
95,Ron Maxwell,Tom Berenger,William Morgan Sheppard,James Patrick Stuart,Drama History War,gettysburg,Tom Berenger William Morgan Sheppard James Patrick Stuart Ron Maxwell Drama History War
96,Jonathan English,Jason Flemyng,Mackenzie Crook,Derek Jacobi,Action Adventure History Romance,ironclad,Jason Flemyng Mackenzie Crook Derek Jacobi Jonathan English Action Adventure History Romance
97,Sergey Bondarchuk,Rod Steiger,Dan O'Herlihy,Jack Hawkins,Action Drama History War,waterloo,Rod Steiger Dan O'Herlihy Jack Hawkins Sergey Bondarchuk Action Drama History War
98,Teddy Chan,Bingbing Fan,Simon Yam,Nicholas Tse,Action Drama History,bodyguards and assassins,Bingbing Fan Simon Yam Nicholas Tse Teddy Chan Action Drama History
99,Richard Attenborough,Candice Bergen,Amrish Puri,John Gielgud,Biography Drama History,gandhi,Candice Bergen Amrish Puri John Gielgud Richard Attenborough Biography Drama History
100,Christopher Spencer,Roma Downey,Amber Rose Revah,Darwin Shaw,Biography Drama History,son of god,Roma Downey Amber Rose Revah Darwin Shaw Christopher Spencer Biography Drama History
101,Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,Drama History Music Romance War,joyeux noel,Gary Lewis Dany Boon Ian Richardson Christian Carion Drama History Music Romance War
102,Laurent Tirard,Romain Duris,Ludivine Sagnier,Fabrice Luchini,Comedy History,moliÃÂ¨re,Romain Duris Ludivine Sagnier Fabrice Luchini Laurent Tirard Comedy History
103,Steve McQueen,QuvenzhanÃÂ© Wallis,Scoot McNairy,Taran Killam,Biography Drama History,12 years a slave,QuvenzhanÃÂ© Wallis Scoot McNairy Taran Killam Steve McQueen Biography Drama History
104,Ava DuVernay,David Oyelowo,Tom Wilkinson,Oprah Winfrey,Biography Drama History,selma,David Oyelowo Tom Wilkinson Oprah Winfrey Ava DuVernay Biography Drama History
105,Tom McCarthy,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,Biography Crime Drama History,spotlight,Billy Crudup Jamey Sheridan Brian d'Arcy James Tom McCarthy Biography Crime Drama History
106,Gus Van Sant,James Franco,Denis O'Hare,Lucas Grabeel,Biography Drama History,milk,James Franco Denis O'Hare Lucas Grabeel Gus Van Sant Biography Drama History
107,George Stevens,Martin Landau,Carroll Baker,JosÃÂ© Ferrer,Biography Drama History,the greatest story ever told,Martin Landau Carroll Baker JosÃÂ© Ferrer George Stevens Biography Drama History
108,Michael O. Sajbel,James Callis,Tiffany Dupont,Nimrat Kaur,Biography Drama History,one night with the king,James Callis Tiffany Dupont Nimrat Kaur Michael O. Sajbel Biography Drama History
109,Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,Biography Comedy Drama History Music Musical,topsy-turvy,Jim Broadbent Dexter Fletcher Lesley Manville Mike Leigh Biography Comedy Drama History Music Musical
110,Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War,passchendaele,Landon Liboiron Michael Greyeyes Caroline Dhavernas Paul Gross Drama History Romance War
111,David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport,the game of their lives,Gerard Butler Costas Mandylor Jimmy Jean-Louis David Anspaugh Drama History Sport
112,Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,rapa nui,Esai Morales Jason Scott Lee Sandrine Holt Kevin Reynolds Action Adventure Drama History Romance
113,Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War,three kingdoms: resurrection of the dragon,Andy Lau Sammo Kam-Bo Hung Andy On Daniel Lee Action Drama History War
114,Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History,ramanujan,Mani Bharathi Michael Lieber Kevin McGowan Gnana Rajasekaran Biography Drama History
115,Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance,the bounty,Liam Neeson Anthony Hopkins Laurence Olivier Roger Donaldson Action Adventure Drama History Romance
116,Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,Drama History War,the fall of the roman empire,James Mason Mel Ferrer Stephen Boyd Anthony Mann Drama History War
117,Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Biography Drama History Music,amadeus,Jeffrey Jones F. Murray Abraham Tom Hulce Milos Forman Biography Drama History Music
118,Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Drama History Thriller,united 93,Christian Clemenson David Alan Basche Susan Blommaert Paul Greengrass Drama History Thriller
119,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama History War,glory,Denzel Washington Morgan Freeman Matthew Broderick Edward Zwick Drama History War
120,Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,Adventure Biography Drama History War,mongol: the rise of genghis khan,Tadanobu Asano Khulan Chuluun Honglei Sun Sergey Bodrov Adventure Biography Drama History War
121,Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,Action Drama History Romance War Western,one man's hero,Tom Berenger Joaquim de Almeida Mark Moses Lance Hool Action Drama History Romance War Western
122,Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Drama History War,hotel rwanda,Don Cheadle Sophie Okonedo Hakeem Kae-Kazim Terry George Drama History War
123,Yimou Zhang,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Action Adventure History,hero,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang Action Adventure History
124,Nicholas Ray,Ava Gardner,David Niven,John Ireland,Action Adventure Drama History War,55 days at peking,Ava Gardner David Niven John Ireland Nicholas Ray Action Adventure Drama History War
125,James Ivory,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,Drama History Romance War,the white countess,Vanessa Redgrave Natasha Richardson Lynn Redgrave James Ivory Drama History Romance War
126,Tom Hooper,Colin Firth,Jennifer Ehle,Derek Jacobi,Biography Drama History Romance,the king's speech,Colin Firth Jennifer Ehle Derek Jacobi Tom Hooper Biography Drama History Romance
127,David Lean,Claude Rains,JosÃÂ© Ferrer,Jack Hawkins,Adventure Biography Drama History War,lawrence of arabia,Claude Rains JosÃÂ© Ferrer Jack Hawkins David Lean Adventure Biography Drama History War
128,Kathryn Bigelow,Jeremy Renner,Christian Camargo,Brian Geraghty,Drama History Thriller War,the hurt locker,Jeremy Renner Christian Camargo Brian Geraghty Kathryn Bigelow Drama History Thriller War
129,Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,Biography Drama History Thriller War,a mighty heart,Angelina Jolie Pitt Archie Panjabi Dan Futterman Michael Winterbottom Biography Drama History Thriller War
130,unknown,Anna Silk,Tom Hollander,Alessandro Nivola,Drama History Thriller,the companyÃÂ            ,Anna Silk Tom Hollander Alessandro Nivola unknown Drama History Thriller
131,Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno,Action Adventure Drama History Thriller War,centurion,Michael Fassbender JJ Feild Dave Legeno Neil Marshall Action Adventure Drama History Thriller War
132,Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo,Biography Drama History,winnie mandela,Jennifer Hudson Wendy Crewson Aubrey Poo Darrell Roodt Biography Drama History
133,Juraj Jakubisko,Anna Friel,Hans Matheson,Franco Nero,Biography Drama Fantasy History,bathory: countess of blood,Anna Friel Hans Matheson Franco Nero Juraj Jakubisko Biography Drama Fantasy History
134,Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,Biography Drama History,the iron lady,Meryl Streep Jim Broadbent Olivia Colman Phyllida Lloyd Biography Drama History
135,Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama History,bobby,Anthony Hopkins Nick Cannon Brian Geraghty Emilio Estevez Drama History
136,Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna,Biography Drama History,catch a fire,Derek Luke Terry Pheto Bonnie Henna Phillip Noyce Biography Drama History
137,James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,Biography Drama History Romance,jefferson in paris,Seth Gilliam Todd Boyce Nigel Whitmey James Ivory Biography Drama History Romance
138,James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,Action Adventure History,caravans,Christopher Lee Joseph Cotten Behrouz Vossoughi James Fargo Action Adventure History
139,Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson,Biography Drama History,mr. turner,Lesley Manville Ruth Sheen Karl Johnson Mike Leigh Biography Drama History
140,Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Biography Drama History War,downfall,Thomas Kretschmann Bruno Ganz Alexandra Maria Lara Oliver Hirschbiegel Biography Drama History War
141,Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,ShidÃÂ´ Nakamura,Drama History War,letters from iwo jima,Yuki Matsuzaki Kazunari Ninomiya ShidÃÂ´ Nakamura Clint Eastwood Drama History War
142,John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,Action Drama History War,operation chromite,Liam Neeson Dean Dawson Jung-jae Lee John H. Lee Action Drama History War
143,Jean-Jacques Annaud,Rae Dawn Chong,Everett McGill,Gary Schwartz,Adventure Drama History,quest for fire,Rae Dawn Chong Everett McGill Gary Schwartz Jean-Jacques Annaud Adventure Drama History
