,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
16,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
17,George Miller,Tom Hardy,Charlize Theron,ZoÃÂ« Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,Tom Hardy Charlize Theron ZoÃÂ« Kravitz George Miller Action Adventure Sci-Fi Thriller
18,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
19,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
20,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
21,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,mission: impossible iii,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams Action Adventure Thriller
22,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,white house down,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama Thriller
23,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,die another day,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
24,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,armageddon,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi Thriller
25,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller,mission: impossible - ghost protocol,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure Thriller
26,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller,stealth,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Sci-Fi Thriller
27,Richard Donner,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller,lethal weapon 4,Jet Li Rene Russo Darlene Love Richard Donner Action Crime Thriller
28,Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Sci-Fi Thriller
29,Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action Adventure Thriller,the world is not enough,Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Michael Apted Action Adventure Thriller
30,unknown,Don Johnson,Philip Michael Thomas,John Diehl,Action Crime Drama Mystery Thriller,miami viceÃÂ            ,Don Johnson Philip Michael Thomas John Diehl unknown Action Crime Drama Mystery Thriller
31,Alejandro G. IÃÂ±ÃÂ¡rritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure Drama Thriller Western,the revenant,Leonardo DiCaprio Tom Hardy Lukas Haas Alejandro G. IÃÂ±ÃÂ¡rritu Adventure Drama Thriller Western
32,Paul Greengrass,Matt Damon,Edgar RamÃÂ­rez,Albert Finney,Action Mystery Thriller,the bourne ultimatum,Matt Damon Edgar RamÃÂ­rez Albert Finney Paul Greengrass Action Mystery Thriller
33,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller,the hunger games: catching fire,Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Francis Lawrence Adventure Sci-Fi Thriller
34,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure Sci-Fi Thriller,war of the worlds,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg Adventure Sci-Fi Thriller
35,Michael Bay,Will Smith,Henry Rollins,Jordi MollÃÂ ,Action Comedy Crime Thriller,bad boys ii,Will Smith Henry Rollins Jordi MollÃÂ  Michael Bay Action Comedy Crime Thriller
36,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action Crime Mystery Thriller,salt,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce Action Crime Mystery Thriller
37,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure Animation Family Thriller,dinosaur,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton Adventure Animation Family Thriller
38,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi Thriller,the hunger games: mockingjay - part 1,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi Thriller
39,Ron Howard,Tom Hanks,Seth Gabel,JÃÂ¼rgen Prochnow,Mystery Thriller,the da vinci code,Tom Hanks Seth Gabel JÃÂ¼rgen Prochnow Ron Howard Mystery Thriller
40,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Action Adventure Fantasy Sci-Fi Thriller,x-men 2,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
41,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Action Crime Thriller,fast five,Paul Walker Vin Diesel Dwayne Johnson Justin Lin Action Crime Thriller
42,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action Adventure Crime Mystery Thriller,sherlock holmes: a game of shadows,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie Action Adventure Crime Mystery Thriller
43,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Action Adventure Thriller,the bourne legacy,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy Action Adventure Thriller
44,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action Adventure Sci-Fi Thriller,the day after tomorrow,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action Adventure Sci-Fi Thriller
45,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,Action Adventure Thriller,mission: impossible ii,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action Adventure Thriller
46,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Action Adventure Drama Thriller,the perfect storm,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action Adventure Drama Thriller
47,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,Action Adventure Sci-Fi Thriller,fantastic 4: rise of the silver surfer,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action Adventure Sci-Fi Thriller
48,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,Action Fantasy Thriller,ghost rider,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action Fantasy Thriller
49,Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,Action Thriller,jason bourne,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action Thriller
50,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Action Drama Sci-Fi Thriller,elysium,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp Action Drama Sci-Fi Thriller
51,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Action Adventure Sci-Fi Thriller,the chronicles of riddick,Vin Diesel Alexa Davalos Christina Cox David Twohy Action Adventure Sci-Fi Thriller
52,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Action Adventure Sci-Fi Thriller,the wolverine,Hugh Jackman Tao Okamoto Rila Fukushima James Mangold Action Adventure Sci-Fi Thriller
53,Alfonso CuarÃÂ³n,Phaldut Sharma,Basher Savage,Amy Warren,Adventure Drama Sci-Fi Thriller,gravity,Phaldut Sharma Basher Savage Amy Warren Alfonso CuarÃÂ³n Adventure Drama Sci-Fi Thriller
54,Roger Donaldson,Jamie RenÃÂ©e Smith,Grant Heslov,Tzi Ma,Action Adventure Thriller,dante's peak,Jamie RenÃÂ©e Smith Grant Heslov Tzi Ma Roger Donaldson Action Adventure Thriller
55,Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Action Adventure Drama Thriller,san andreas,Dwayne Johnson Ioan Gruffudd Archie Panjabi Brad Peyton Action Adventure Drama Thriller
56,Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Action Adventure Thriller,tomorrow never dies,Vincent Schiavelli Colin Salmon Joe Don Baker Roger Spottiswoode Action Adventure Thriller
57,Steven Soderbergh,Brad Pitt,Julia Roberts,Mini Anden,Crime Thriller,ocean's twelve,Brad Pitt Julia Roberts Mini Anden Steven Soderbergh Crime Thriller
58,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Action Comedy Crime Romance Thriller,mr. & mrs. smith,Brad Pitt Angelina Jolie Pitt Stephanie March Doug Liman Action Comedy Crime Romance Thriller
59,Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,Adventure Sci-Fi Thriller,insurgent,Kate Winslet Theo James Mekhi Phifer Robert Schwentke Adventure Sci-Fi Thriller
60,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Action Comedy Crime Sci-Fi Thriller,the green hornet,Christoph Waltz Tom Wilkinson Chad L. Coleman Michel Gondry Action Comedy Crime Sci-Fi Thriller
61,Robert Schwentke,Naomi Watts,Theo James,ZoÃÂ« Kravitz,Action Adventure Mystery Sci-Fi Thriller,allegiant,Naomi Watts Theo James ZoÃÂ« Kravitz Robert Schwentke Action Adventure Mystery Sci-Fi Thriller
62,Jan de Bont,Jason Patric,Temuera Morrison,Lois Chiles,Action Crime Romance Thriller,speed 2: cruise control,Jason Patric Temuera Morrison Lois Chiles Jan de Bont Action Crime Romance Thriller
63,Len Wiseman,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,Action Adventure Thriller,live free or die hard,Bruce Willis Jonathan Sadowski Cyril Raffaelli Len Wiseman Action Adventure Thriller
64,Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride,Action Mystery Sci-Fi Thriller,"i, robot",Will Smith Bruce Greenwood Chi McBride Alex Proyas Action Mystery Sci-Fi Thriller
65,Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Action Crime Thriller,gone in sixty seconds,Nicolas Cage Angelina Jolie Pitt Robert Duvall Dominic Sena Action Crime Thriller
66,Steven Spielberg,Tom Cruise,Frank Grillo,Jessica Capshaw,Action Mystery Sci-Fi Thriller,minority report,Tom Cruise Frank Grillo Jessica Capshaw Steven Spielberg Action Mystery Sci-Fi Thriller
67,James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,Action Comedy Thriller,true lies,Jamie Lee Curtis Tia Carrere Tom Arnold James Cameron Action Comedy Thriller
68,Tony Scott,Denzel Washington,Ramon Rodriguez,Michael Rispoli,Action Crime Thriller,the taking of pelham 1 2 3,Denzel Washington Ramon Rodriguez Michael Rispoli Tony Scott Action Crime Thriller
69,Chuck Russell,Vanessa Williams,James Coburn,Roma Maffia,Action Drama Mystery Thriller,eraser,Vanessa Williams James Coburn Roma Maffia Chuck Russell Action Drama Mystery Thriller
70,Simon West,Jason Statham,Sylvester Stallone,Bruce Willis,Action Adventure Thriller,the expendables 2,Jason Statham Sylvester Stallone Bruce Willis Simon West Action Adventure Thriller
71,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,Adventure Drama Thriller,blood diamond,Leonardo DiCaprio Djimon Hounsou Stephen Collins Edward Zwick Adventure Drama Thriller
72,Pitof,Frances Conroy,Christopher Heyerdahl,Alex Borstein,Action Crime Fantasy Romance Thriller,catwoman,Frances Conroy Christopher Heyerdahl Alex Borstein Pitof Action Crime Fantasy Romance Thriller
73,Patrick Hughes,Jason Statham,Sylvester Stallone,Harrison Ford,Action Adventure Thriller,the expendables 3,Jason Statham Sylvester Stallone Harrison Ford Patrick Hughes Action Adventure Thriller
74,Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action Adventure Biography Drama History Thriller,in the heart of the sea,Chris Hemsworth Benjamin Walker Frank Dillane Ron Howard Action Adventure Biography Drama History Thriller
75,Paul Greengrass,Matt Damon,Sean Huze,Igal Naor,Action Drama Thriller War,green zone,Matt Damon Sean Huze Igal Naor Paul Greengrass Action Drama Thriller War
76,David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,Drama Mystery Thriller,the spanish prisoner,Ben Gazzara Felicity Huffman Campbell Scott David Mamet Drama Mystery Thriller
77,Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,Action Adventure Fantasy Thriller,the mummy returns,Dwayne Johnson Brendan Fraser Patricia Velasquez Stephen Sommers Action Adventure Fantasy Thriller
78,Frank Oz,Jon Lovitz,Matthew Broderick,Roger Bart,Comedy Sci-Fi Thriller,the stepford wives,Jon Lovitz Matthew Broderick Roger Bart Frank Oz Comedy Sci-Fi Thriller
79,Simon West,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,Action Adventure Fantasy Thriller,lara croft: tomb raider,Angelina Jolie Pitt Noah Taylor Chris Barrie Simon West Action Adventure Fantasy Thriller
80,Wally Pfister,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,Drama Mystery Romance Sci-Fi Thriller,transcendence,Johnny Depp Morgan Freeman Clifton Collins Jr. Wally Pfister Drama Mystery Romance Sci-Fi Thriller
81,Joe Johnston,Michael Jeter,Trevor Morgan,Alessandro Nivola,Action Adventure Sci-Fi Thriller,jurassic park iii,Michael Jeter Trevor Morgan Alessandro Nivola Joe Johnston Action Adventure Sci-Fi Thriller
82,Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,Action Drama Sci-Fi Thriller,rise of the planet of the apes,James Franco David Oyelowo Tyler Labine Rupert Wyatt Action Drama Sci-Fi Thriller
83,John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Action Thriller,a good day to die hard,Bruce Willis Cole Hauser Megalyn Echikunwoke John Moore Action Thriller
84,Tony Scott,Denzel Washington,Rosario Dawson,Ethan Suplee,Action Thriller,unstoppable,Denzel Washington Rosario Dawson Ethan Suplee Tony Scott Action Thriller
85,Brett Ratner,Mei MelanÃÂ§on,John Lone,Harris Yulin,Action Comedy Crime Thriller,rush hour 2,Mei MelanÃÂ§on John Lone Harris Yulin Brett Ratner Action Comedy Crime Thriller
86,Robert Zemeckis,Harrison Ford,Amber Valletta,Miranda Otto,Drama Fantasy Horror Mystery Thriller,what lies beneath,Harrison Ford Amber Valletta Miranda Otto Robert Zemeckis Drama Fantasy Horror Mystery Thriller
87,McG,Bill Murray,LL Cool J,Kelly Lynch,Action Adventure Comedy Crime Thriller,charlie's angels,Bill Murray LL Cool J Kelly Lynch McG Action Adventure Comedy Crime Thriller
88,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Ray Winstone,Crime Drama Thriller,the departed,Leonardo DiCaprio Matt Damon Ray Winstone Martin Scorsese Crime Drama Thriller
89,David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,Crime Drama Mystery Thriller,the girl with the dragon tattoo,Robin Wright Goran Visnjic Joely Richardson David Fincher Crime Drama Mystery Thriller
90,John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,Action Adventure Thriller,die hard with a vengeance,Bruce Willis Aldis Hodge Kevin Chamberlin John McTiernan Action Adventure Thriller
91,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Robert Maillet,Action Adventure Crime Mystery Thriller,sherlock holmes,Robert Downey Jr. Eddie Marsan Robert Maillet Guy Ritchie Action Adventure Crime Mystery Thriller
92,Bryan Singer,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Drama History Thriller War,valkyrie,Tom Cruise Tom Wilkinson Thomas Kretschmann Bryan Singer Drama History Thriller War
93,Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Larry King,Drama Mystery Sci-Fi Thriller,contact,Matthew McConaughey Tom Skerritt Larry King Robert Zemeckis Drama Mystery Sci-Fi Thriller
94,Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,Action Horror Sci-Fi Thriller,hollow man,Greg Grunberg Kim Dickens Joey Slotnick Paul Verhoeven Action Horror Sci-Fi Thriller
95,Sydney Pollack,Curtiss Cook,George Harris,Michael Wright,Crime Mystery Thriller,the interpreter,Curtiss Cook George Harris Michael Wright Sydney Pollack Crime Mystery Thriller
96,Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Action Adventure Comedy Crime Mystery Thriller,now you see me 2,Daniel Radcliffe Morgan Freeman Sanaa Lathan Jon M. Chu Action Adventure Comedy Crime Mystery Thriller
97,Tony Scott,Brad Pitt,Stephen Dillane,Catherine McCormack,Action Crime Thriller,spy game,Brad Pitt Stephen Dillane Catherine McCormack Tony Scott Action Crime Thriller
98,Brian De Palma,Don Cheadle,Connie Nielsen,Kim Delaney,Adventure Sci-Fi Thriller,mission to mars,Don Cheadle Connie Nielsen Kim Delaney Brian De Palma Adventure Sci-Fi Thriller
99,Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,Action Drama Sci-Fi Thriller,volcano,Don Cheadle Anne Heche Gaby Hoffmann Mick Jackson Action Drama Sci-Fi Thriller
100,Alan J. Pakula,Harrison Ford,Brad Pitt,Natascha McElhone,Action Crime Drama Thriller,the devil's own,Harrison Ford Brad Pitt Natascha McElhone Alan J. Pakula Action Crime Drama Thriller
101,Kathryn Bigelow,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama History Thriller War,k-19: the widowmaker,Liam Neeson Christian Camargo Lex Shrapnel Kathryn Bigelow Drama History Thriller War
102,Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,Action Adventure Drama Thriller,twister,Philip Seymour Hoffman Alan Ruck Jami Gertz Jan de Bont Action Adventure Drama Thriller
103,Paul Greengrass,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller,the bourne supremacy,Matt Damon Joan Allen Oksana Akinshina Paul Greengrass Action Mystery Thriller
104,Wolfgang Petersen,Harrison Ford,Gary Oldman,Dean Stockwell,Action Adventure Drama Thriller,air force one,Harrison Ford Gary Oldman Dean Stockwell Wolfgang Petersen Action Adventure Drama Thriller
105,Steven Soderbergh,Brad Pitt,Bernie Mac,Elliott Gould,Crime Thriller,ocean's eleven,Brad Pitt Bernie Mac Elliott Gould Steven Soderbergh Crime Thriller
106,unknown,Caroline Dhavernas,Scott Thompson,Hettienne Park,Crime Drama Horror Mystery Thriller,hannibalÃÂ            ,Caroline Dhavernas Scott Thompson Hettienne Park unknown Crime Drama Horror Mystery Thriller
107,Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Crime Mystery Thriller,safe house,Denzel Washington Ryan Reynolds Sam Shepard Daniel Espinosa Action Crime Mystery Thriller
108,Tony Scott,Will Smith,Jake Busey,Lisa Bonet,Action Crime Drama Mystery Thriller,enemy of the state,Will Smith Jake Busey Lisa Bonet Tony Scott Action Crime Drama Mystery Thriller
109,Steven Soderbergh,Al Pacino,Matt Damon,Brad Pitt,Crime Thriller,ocean's thirteen,Al Pacino Matt Damon Brad Pitt Steven Soderbergh Crime Thriller
110,Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Action Adventure Comedy Thriller,the rundown,Dwayne Johnson Rosario Dawson Ewen Bremner Peter Berg Action Adventure Comedy Thriller
111,Justin Lin,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,Action Crime Thriller,the fast and the furious: tokyo drift,Amber Stevens West Zachery Ty Bryan Nikki Griffin Justin Lin Action Crime Thriller
112,Andrew Davis,Raymond Cruz,Rick Worthy,Jsu Garcia,Action Drama Thriller,collateral damage,Raymond Cruz Rick Worthy Jsu Garcia Andrew Davis Action Drama Thriller
113,Jon Amiel,Glenn Morshower,TchÃÂ©ky Karyo,Rekha Sharma,Action Adventure Sci-Fi Thriller,the core,Glenn Morshower TchÃÂ©ky Karyo Rekha Sharma Jon Amiel Action Adventure Sci-Fi Thriller
114,Doug Liman,Kristen Stewart,Hayden Christensen,Tom Hulce,Action Adventure Sci-Fi Thriller,jumper,Kristen Stewart Hayden Christensen Tom Hulce Doug Liman Action Adventure Sci-Fi Thriller
115,David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Crime Drama History Mystery Thriller,zodiac,Robert Downey Jr. Jake Gyllenhaal Anthony Edwards David Fincher Crime Drama History Mystery Thriller
116,Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,Action Mystery Sci-Fi Thriller,the 6th day,Robert Duvall Michael Rapaport Tony Goldwyn Roger Spottiswoode Action Mystery Sci-Fi Thriller
117,Sylvester Stallone,Jason Statham,Sylvester Stallone,Jet Li,Action Adventure Thriller,the expendables,Jason Statham Sylvester Stallone Jet Li Sylvester Stallone Action Adventure Thriller
118,Brian De Palma,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave,Action Adventure Thriller,mission: impossible,Tom Cruise Kristin Scott Thomas Vanessa Redgrave Brian De Palma Action Adventure Thriller
119,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,Adventure Drama Sci-Fi Thriller,the hunger games,Jennifer Lawrence Josh Hutcherson Anthony Reynolds Gary Ross Adventure Drama Sci-Fi Thriller
120,Mimi Leder,Morgan Freeman,Jon Favreau,Robert Duvall,Action Drama Romance Sci-Fi Thriller,deep impact,Morgan Freeman Jon Favreau Robert Duvall Mimi Leder Action Drama Romance Sci-Fi Thriller
121,Dean Parisot,Bruce Willis,Anthony Hopkins,Garrick Hagon,Action Comedy Crime Thriller,red 2,Bruce Willis Anthony Hopkins Garrick Hagon Dean Parisot Action Comedy Crime Thriller
122,Martin Scorsese,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,Mystery Thriller,shutter island,Leonardo DiCaprio Joseph Sikora Nellie Sciutto Martin Scorsese Mystery Thriller
123,John Woo,Nicolas Cage,CCH Pounder,Joan Allen,Action Crime Sci-Fi Thriller,face/off,Nicolas Cage CCH Pounder Joan Allen John Woo Action Crime Sci-Fi Thriller
124,Sam Mendes,Tom Hanks,Jennifer Jason Leigh,Liam Aiken,Crime Drama Thriller,road to perdition,Tom Hanks Jennifer Jason Leigh Liam Aiken Sam Mendes Crime Drama Thriller
125,unknown,Elden Henson,Royce Johnson,Charlie Cox,Action Adventure Crime Drama Sci-Fi Thriller,daredevilÃÂ            ,Elden Henson Royce Johnson Charlie Cox unknown Action Adventure Crime Drama Sci-Fi Thriller
126,Simon West,Steve Buscemi,Monica Potter,Dave Chappelle,Action Crime Thriller,con air,Steve Buscemi Monica Potter Dave Chappelle Simon West Action Crime Thriller
127,D.J. Caruso,Rosario Dawson,Ethan Embry,Cameron Boyce,Action Mystery Thriller,eagle eye,Rosario Dawson Ethan Embry Cameron Boyce D.J. Caruso Action Mystery Thriller
128,Albert Hughes,Denzel Washington,Mila Kunis,Gary Oldman,Action Adventure Drama Thriller,the book of eli,Denzel Washington Mila Kunis Gary Oldman Albert Hughes Action Adventure Drama Thriller
129,Jan de Bont,Liam Neeson,Lili Taylor,Virginia Madsen,Fantasy Horror Mystery Thriller,the haunting,Liam Neeson Lili Taylor Virginia Madsen Jan de Bont Fantasy Horror Mystery Thriller
130,Richard Donner,Julia Roberts,Alex McArthur,Michael Potts,Action Crime Mystery Romance Thriller,conspiracy theory,Julia Roberts Alex McArthur Michael Potts Richard Donner Action Crime Mystery Romance Thriller
131,Stephen Hopkins,Gary Oldman,William Hurt,June Lockhart,Action Adventure Family Sci-Fi Thriller,lost in space,Gary Oldman William Hurt June Lockhart Stephen Hopkins Action Adventure Family Sci-Fi Thriller
132,Jonathan Demme,Denzel Washington,Dorian Missick,Jose Pablo Cantillo,Drama Mystery Sci-Fi Thriller,the manchurian candidate,Denzel Washington Dorian Missick Jose Pablo Cantillo Jonathan Demme Drama Mystery Sci-Fi Thriller
